2003-CVI-102->[ACC-384-HUM-2001, ACPAI-2003-094, 2004-CVI-158]
CTI-98-1393-E->[2008-SEJ-489, 2005-HUM-694, 2003-HUM-381]
2005-HUM-245->[2003-HUM-461, 1997-HUM-133, 2002-HUM-694]
OTRI-04-CT07->[2009-TEP-142, 2008-FQM-121, 2008-HUM-319]
2011-SEJ-136->[2011-SEJ-145, 2010-SEJ-446, 2004-SEJ-415]
OTRI-04-CT08->[ACC-384-HUM-2001, 1997-HUM-292, 2003-HUM-135]
OTRI-04-CT09->[2003-HUM-661, 2004-CVI-163, 2000-CVI-236]
2005-HUM-241->[ACPAI-2003-082, 2010-HUM-317, 2003-HUM-625]
OTRI-04-CT03->[2002-HUM-631, 2000-FQM-282, 2003-HUM-326]
2011-SEJ-132->[2006-SEJ-446, 2000-SEJ-359, 2011-SEJ-103]
1997-FQM-274->[1997-FQM-104, 2007-FQM-329, 2002-FQM-223]
2009-FQM-160->[ACPAI-2003-086, 2006-FQM-132, 2010-FQM-263]
2009-FQM-163->[2010-FQM-344, 2009-FQM-240, 2002-FQM-331]
2011-SEJ-130->[2011-SEJ-418, 2005-SEJ-446, 2005-SEJ-400]
2009-FQM-164->[ACPAI-2003-080, 2000-FQM-146, 2008-FQM-102]
OTRI-04-CT02->[2002-FQM-223, 2004-HUM-292, 2009-HUM-708]
2004-CVI-271->[ACPAI-2003-082, ACC-384-HUM-2001, 2008-HUM-322]
SUBCS08-003->[2005-CVI-131, 2000-CVI-211, 2005-SEJ-155]
2009-FQM-149->[2002-FQM-308, 2005-FQM-345, 2011-FQM-369]
2011-SEJ-149->[2004-SEJ-400, 2008-SEJ-164, 2011-SEJ-502]
ACC-389-TEP-2001->[ACPAI-2003-080, AC-TEP 113, ACC-384-HUM-2001]
2011-SEJ-145->[ACPAI-2003-026, ACC-353-FQM-2001, 2011-SEJ-297]
1997-FQM-282->[2006-FQM-160, 2005-FQM-212, 2010-FQM-262]
2006-AGR-155->[ACC-384-HUM-2001, 2011-AGR-153, 2008-HUM-134]
2011-SEJ-140->[2010-SEJ-128, 2009-SEJ-353, 2011-SEJ-119]
1997-FQM-280->[2004-FQM-333, 1997-FQM-282, 2002-FQM-112]
2006-AGR-153->[2008-AGR-225, 2010-HUM-423, 2003-CVI-242]
2009-FQM-153->[2011-FQM-106, 2002-FQM-309, 2002-FQM-333]
OTRI-05-PC04->[ACPAI-2003-082, 2010-HUM-454, 2006-TEP-229]
OTRI-05-PC05->[1997-HUM-153, 2000-CTS-382, 2006-HUM-317]
OTRI-05-PC02->[2000-FQM-135, 2005-HUM-822, 2003-HUM-152]
2000-AGR-167->[2007-SEJ-145, 1997-HUM-197, 1997-AGR-153]
OTRI-05-PC03->[ACPAI-2003-082, ACPAI-2003-080, 2003-HUM-627]
OTRI-05-PC01->[ACC-384-HUM-2001, 2011-CTS-358, 2006-SEJ-136]
DPI2008-05060-E->[2002-HUM-197, 2009-FQM-331, 2003-HUM-399]
DER2010-10559-E->[2005-SEJ-177, 2002-CVI-211, 2008-CTS-259]
2005-RNM-294->[ACC-790-HUM-2002, 2000-CVI-158, 2008-RNM-140]
